"feature"	"metadata"	"value"	"name"	"coef"	"null_hypothesis"	"stderr"	"pval_individual"	"qval_individual"	"pval_joint"	"qval_joint"	"error"	"model"	"N"	"N_not_zero"
"PWY-6700: queuosine biosynthesis I (de novo)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.2862135113146	0	0.907707791010708	0.156485642299346	0.496019101318963	0.271523855048894	0.520349996941037	NA	"prevalence"	65	59
"PWY-6703: preQ0 biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"PWY-6713: L-rhamnose degradation II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.952004938728214	0	0.565957342752172	0.09254667820049	0.496019101318963	0.176528468755035	0.520349996941037	NA	"prevalence"	65	24
"PWY-6731: starch degradation III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.20364000298661	0	0.678726725870872	0.0761658579242003	0.496019101318963	0.127321301023197	0.520349996941037	NA	"prevalence"	65	54
"PWY-6803: phosphatidylcholine acyl editing"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351137171	0	0.907706969460364	0.156485267313698	0.496019101318963	0.288482895741157	0.520349996941037	NA	"prevalence"	65	59
"PWY-6823: molybdopterin biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY-6859: all-trans-farnesol biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-6892: thiazole component of thiamine diphosphate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.27726755721642	0	1.12944178250828	0.0437710122679689	0.496019101318963	0.0856261230209752	0.520349996941037	NA	"prevalence"	65	59
"PWY-6895: superpathway of thiamine diphosphate biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-6897: thiamine diphosphate salvage II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.0236725842925011	0.520349996941037	NA	"prevalence"	65	61
"PWY-6901: superpathway of glucose and xylose degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY-6936: seleno-amino acid biosynthesis (plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101242798	0	0.881087086506002	0.0769890115807727	0.496019101318963	0.148050715257361	0.520349996941037	NA	"prevalence"	65	58
"PWY-7003: glycerol degradation to butanol"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295301252	0	0.705034089296026	0.138467738767622	0.496019101318963	0.257762162855825	0.520349996941037	NA	"prevalence"	65	55
"PWY-7013: (S)-propane-1,2-diol degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.56785797488323	0	0.747514166518918	0.0359556062141015	0.496019101318963	0.0706184068099794	0.520349996941037	NA	"prevalence"	65	55
"PWY-7090: UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.857452237061711	0	0.543756488508021	0.11481742332958	0.496019101318963	0.167387900158285	0.520349996941037	NA	"prevalence"	65	21
"PWY-7111: pyruvate fermentation to isobutanol (engineered)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.00532214703664	0	1.15032690946141	0.081287714417684	0.496019101318963	0.155967736320117	0.520349996941037	NA	"prevalence"	65	60
"PWY-7115: C4 photosynthetic carbon assimilation cycle, NAD-ME type"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822655447	0	0.781254266593421	0.149504844357224	0.496019101318963	0.27665799022817	0.520349996941037	NA	"prevalence"	65	57
"PWY-7118: chitin deacetylation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY-7184: pyrimidine deoxyribonucleotides de novo biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-7185: UTP and CTP dephosphorylation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04456723166421	0	0.705036522147582	0.138452378007107	0.496019101318963	0.25773569503839	0.520349996941037	NA	"prevalence"	65	55
"PWY-7196: superpathway of pyrimidine ribonucleosides salvage"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-7198: pyrimidine deoxyribonucleotides de novo biosynthesis IV"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY-7200: superpathway of pyrimidine deoxyribonucleoside salvage"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-7209: superpathway of pyrimidine ribonucleosides degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.87764245676197	0	0.525274412960396	0.0947559346361881	0.496019101318963	0.180533182123599	0.520349996941037	NA	"prevalence"	65	32
"PWY-7210: pyrimidine deoxyribonucleotides biosynthesis from CTP"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04456723166421	0	0.705036522147582	0.138452378007107	0.496019101318963	0.25773569503839	0.520349996941037	NA	"prevalence"	65	55
"PWY-7211: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295301252	0	0.705034089296026	0.138467738767622	0.496019101318963	0.257762162855825	0.520349996941037	NA	"prevalence"	65	55
"PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-7221: guanosine ribonucleotides de novo biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.269840319620043	0.520349996941037	NA	"prevalence"	65	61
"PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-724: superpathway of L-lysine, L-threonine and L-methionine biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-7254: TCA cycle VII (acetate-producers)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.25276103958229	0	0.690064705524898	0.0694585504949919	0.496019101318963	0.134092610753118	0.520349996941037	NA	"prevalence"	65	54
"PWY-7279: aerobic respiration II (cytochrome c) (yeast)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.05259902194312	0	0.565285976120467	0.0625939808539682	0.496019101318963	0.121269955268789	0.520349996941037	NA	"prevalence"	65	25
"PWY-7282: 4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295305875	0	0.705035403263496	0.138468473949199	0.496019101318963	0.257763429620577	0.520349996941037	NA	"prevalence"	65	55
"PWY-7315: dTDP-N-acetylthomosamine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-7345: superpathway of anaerobic sucrose degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.79177333866379	0	0.86349203778698	0.0379835982511495	0.496019101318963	0.0745244427661943	0.520349996941037	NA	"prevalence"	65	57
"PWY-7357: thiamine phosphate formation from pyrithiamine and oxythiamine (yeast)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.0136241624154902	0.520349996941037	NA	"prevalence"	65	61
"PWY-7384: anaerobic energy metabolism (invertebrates, mitochondrial)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.71830172300735	0	0.695416785976286	0.0134775458373842	0.496019101318963	0.0267734474329695	0.520349996941037	NA	"prevalence"	65	52
"PWY-7400: L-arginine biosynthesis IV (archaebacteria)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351137171	0	0.907706969460364	0.156485267313698	0.496019101318963	0.0848353804325843	0.520349996941037	NA	"prevalence"	65	59
"PWY-7528: L-methionine salvage cycle I (bacteria and plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.02450353922252	0	0.525886320104898	0.0513974486467651	0.496019101318963	0.100153199566133	0.520349996941037	NA	"prevalence"	65	29
"PWY-7761: NAD salvage pathway II (PNC IV cycle)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-7991: toxoflavin biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY-8004: Entner-Doudoroff pathway I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.09712978354675	0	0.717239798131081	0.126102030347267	0.496019101318963	0.236302338636831	0.520349996941037	NA	"prevalence"	65	55
"PWY-8073: lipid IVA biosynthesis (P. putida)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY-8086: (S)-lactate fermentation to propanoate, acetate and hydrogen"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.14513230506525	0	0.58294656889834	0.0494853001531933	0.496019101318963	0.096521805375135	0.520349996941037	NA	"prevalence"	65	48
"PWY-8178: pentose phosphate pathway (non-oxidative branch) II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.2862135113146	0	0.907707791010708	0.156485642299346	0.496019101318963	0.288483528352853	0.520349996941037	NA	"prevalence"	65	59
"PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.0971297835227	0	0.717240998504755	0.126102664363688	0.496019101318963	0.236303446767756	0.520349996941037	NA	"prevalence"	65	55
"PWY-822: fructan biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.800864391149398	0	0.532337652100039	0.132470850298293	0.496019101318963	0.247393174417834	0.520349996941037	NA	"prevalence"	65	31
"PWY-841: superpathway of purine nucleotides de novo biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY0-1241: ADP-L-glycero-&beta;-D-manno-heptose biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.09712978345325	0	0.717240638390203	0.126102474183902	0.496019101318963	0.236303114372503	0.520349996941037	NA	"prevalence"	65	55
"PWY0-1261: anhydromuropeptides recycling I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295301252	0	0.705034089296026	0.138467738767622	0.496019101318963	0.257762162855825	0.520349996941037	NA	"prevalence"	65	55
"PWY0-1297: superpathway of purine deoxyribonucleosides degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"PWY0-1477: ethanolamine utilization"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"PWY0-1479: tRNA processing"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.291874481042789	0.520349996941037	NA	"prevalence"	65	61
"PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351137171	0	0.907706969460364	0.156485267313698	0.496019101318963	0.288482895741157	0.520349996941037	NA	"prevalence"	65	59
"PWY0-166: superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"PWY0-845: superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.00144816608243	0	0.653440366164932	0.125379927177812	0.496019101318963	0.23503972821651	0.520349996941037	NA	"prevalence"	65	53
"PWY0-881: superpathway of fatty acid biosynthesis I (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.81095120321091	0	0.574335488271821	0.157955347486485	0.496019101318963	0.290960803173393	0.520349996941037	NA	"prevalence"	65	48
"PWY1ZNC-1: assimilatory sulfate reduction IV"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.27726755721642	0	1.12944178250828	0.0437710122679689	0.496019101318963	0.0856261230209752	0.520349996941037	NA	"prevalence"	65	59
"PWY4FS-7: phosphatidylglycerol biosynthesis I (plastidic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY4FS-8: phosphatidylglycerol biosynthesis II (non-plastidic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"PWY4LZ-257: superpathway of fermentation (Chlamydomonas reinhardtii)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.0971297835227	0	0.717240998504755	0.126102664363688	0.496019101318963	0.236303446767756	0.520349996941037	NA	"prevalence"	65	55
"PWY66-367: ketogenesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.875469503694254	0	0.597216135289819	0.142670800427181	0.496019101318963	0.264986643559829	0.520349996941037	NA	"prevalence"	65	20
"PWY66-389: phytol degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.1260082265637	0	0.781255668534666	0.149505574731801	0.496019101318963	0.276659232587715	0.520349996941037	NA	"prevalence"	65	57
"PWY66-399: gluconeogenesis III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.64923937782847	0	0.770264587664134	0.0322632670143799	0.496019101318963	0.0634856156303186	0.520349996941037	NA	"prevalence"	65	55
"PYRIDOXSYN-PWY: pyridoxal 5'-phosphate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.09712978354675	0	0.717239798131081	0.126102030347267	0.496019101318963	0.236302338636831	0.520349996941037	NA	"prevalence"	65	55
"RHAMCAT-PWY: L-rhamnose degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.28621351134957	0	0.907706197492539	0.156484914983747	0.496019101318963	0.288482301350024	0.520349996941037	NA	"prevalence"	65	59
"RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.201220535934209	0.520349996941037	NA	"prevalence"	65	57
"SALVADEHYPOX-PWY: adenosine nucleotides degradation II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.35962701436117	0	0.761352252485704	0.0741307613371882	0.496019101318963	0.142766152897945	0.520349996941037	NA	"prevalence"	65	56
"SO4ASSIM-PWY: assimilatory sulfate reduction I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	2.27726755721642	0	1.12944178250828	0.0437710122679689	0.496019101318963	0.0856261230209752	0.520349996941037	NA	"prevalence"	65	59
"SULFATE-CYS-PWY: superpathway of sulfate assimilation and cysteine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.38476000883109	0	0.772900697285235	0.073190609147211	0.496019101318963	0.141024353027082	0.520349996941037	NA	"prevalence"	65	56
"TCA-GLYOX-BYPASS: superpathway of glyoxylate bypass and TCA"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.04452295308111	0	0.705034471076499	0.138467952357812	0.496019101318963	0.257762530885458	0.520349996941037	NA	"prevalence"	65	55
"TCA: TCA cycle I (prokaryotic)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.55814101241259	0	0.881086283002117	0.0769887421806547	0.496019101318963	0.14805021793875	0.520349996941037	NA	"prevalence"	65	58
"TRNA-CHARGING-PWY: tRNA charging"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.2862135113146	0	0.907707791010708	0.156485642299346	0.496019101318963	0.288483528352853	0.520349996941037	NA	"prevalence"	65	59
"TRPSYN-PWY: L-tryptophan biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.12600822652589	0	0.78125556029967	0.149505518357618	0.496019101318963	0.276659136695857	0.520349996941037	NA	"prevalence"	65	57
"UDPNAGSYN-PWY: UDP-N-acetyl-D-glucosamine biosynthesis I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.79177333866379	0	0.86349203778698	0.0379835982511495	0.496019101318963	0.0745244427661943	0.520349996941037	NA	"prevalence"	65	57
"UNINTEGRATED"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.272299727919568	0.520349996941037	NA	"prevalence"	65	61
"UNMAPPED"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.291874481042789	0.520349996941037	NA	"prevalence"	65	61
"VALSYN-PWY: L-valine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	1.67114111131396	0	1.1850879664399	0.158498057662841	0.496019101318963	0.291874481042789	0.520349996941037	NA	"prevalence"	65	61
"PWY-241: C4 photosynthetic carbon assimilation cycle, NADP-ME type"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.918471823612397	0	0.655407001519328	0.161101582498487	0.502359773382377	0.296249445113456	0.525993912752463	NA	"prevalence"	65	52
"ARGININE-SYN4-PWY: L-ornithine biosynthesis II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.606435898819822	-0.0597419706712674	0.386842721831314	0.16424402884617	0.503141919352705	0.301511956680719	0.528861698210132	NA	"abundance"	65	53
"NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.307958778821571	-0.0597419706712674	0.173925993606859	0.162540588044311	0.503141919352705	0.14805021793875	0.520349996941037	NA	"abundance"	65	58
"P125-PWY: superpathway of (R,R)-butanediol biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.89495514093557	-0.0597419706712674	0.588408521048599	0.162858838436358	0.503141919352705	0.299194675615876	0.528861698210132	NA	"abundance"	65	48
"P163-PWY: L-lysine fermentation to acetate and butanoate"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.867776822411022	-0.0597419706712674	0.647861345440178	0.164226154063567	0.503141919352705	0.301482078448623	0.528861698210132	NA	"abundance"	65	28
"PWY-8073: lipid IVA biosynthesis (P. putida)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.307958778821571	-0.0597419706712674	0.173925993606859	0.163365020799695	0.503141919352705	0.14805021793875	0.520349996941037	NA	"abundance"	65	58
"PWY-6383: mono-trans, poly-cis decaprenyl phosphate biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.849794650118395	-0.0597419706712674	0.646099049216663	0.165923938612639	0.506504654712267	0.0250629694073484	0.520349996941037	NA	"abundance"	65	48
"PWY-7991: toxoflavin biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.113363967631514	-0.0597419706712674	0.12140939212871	0.166926264980173	0.507782694170458	0.276659136695857	0.520349996941037	NA	"abundance"	65	57
"PWY-5392: reductive TCA cycle II"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.936573006326272	-0.0597419706712674	0.633433573865269	0.17445362493214	0.50969438159434	0.318473182612317	0.541524077293027	NA	"abundance"	65	40
"PWY-6607: guanosine nucleotides degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.771611074452591	-0.0597419706712674	0.600153971545302	0.17283569233641	0.50969438159434	0.18585468091556	0.520349996941037	NA	"abundance"	65	49
"PWY-6629: superpathway of L-tryptophan biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0606515181976859	-0.0597419706712674	0.0829965158602066	0.169791273268764	0.50969438159434	0.276659136695857	0.520349996941037	NA	"abundance"	65	57
"PWY-6883: pyruvate fermentation to butanol II (engineered)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.451405300231702	-0.0597419706712674	0.361749518632652	0.171349687579298	0.50969438159434	0.313338659725073	0.541524077293027	NA	"abundance"	65	26
"PWY-7013: (S)-propane-1,2-diol degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-1.0046066855127	-0.0597419706712674	0.68058281139261	0.170915834652614	0.50969438159434	0.0706184068099794	0.520349996941037	NA	"abundance"	65	55
"CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.728231760261385	0	0.536404079911737	0.174584972086337	0.50969438159434	0.318690031694287	0.541524077293027	NA	"prevalence"	65	22
"GLUDEG-I-PWY: GABA shunt"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.82495423093517	0	0.606480915706991	0.173756789369296	0.50969438159434	0.317322156886666	0.541524077293027	NA	"prevalence"	65	50
"PWY-4702: phytate degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.728231760682354	0	0.536404058826729	0.174584954894994	0.50969438159434	0.318690003314301	0.541524077293027	NA	"prevalence"	65	22
"PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.728238182547639	0	0.536404158074693	0.174581233834634	0.50969438159434	0.166667588055466	0.520349996941037	NA	"prevalence"	65	22
"PWY-7456: &beta;-(1,4)-mannan degradation"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.824954230852488	0	0.606481091130358	0.1737569138785	0.50969438159434	0.31732236263642	0.541524077293027	NA	"prevalence"	65	50
"PWY-7723: bacterial bioluminescence"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.755592910468563	0	0.552844887409844	0.171708126025139	0.50969438159434	0.313932571507213	0.541524077293027	NA	"prevalence"	65	25
"PWY-801: homocysteine and cysteine interconversion"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.824954230820039	0	0.606480498070546	0.17375649310866	0.50969438159434	0.3173216673199	0.541524077293027	NA	"prevalence"	65	50
"TRNA-CHARGING-PWY: tRNA charging"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.115114826755595	-0.0597419706712674	0.126774281462416	0.17972490289456	0.522945369626311	0.288483528352853	0.520349996941037	NA	"abundance"	65	59
"GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.565606886684107	-0.0597419706712674	0.374540907963804	0.183134811549016	0.527573794859747	0.142766152897945	0.520349996941037	NA	"abundance"	65	56
"HISDEG-PWY: L-histidine degradation I"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.489938140673137	-0.0597419706712674	0.317524847513119	0.182604642553387	0.527573794859747	0.331864829624724	0.56028042553668	NA	"abundance"	65	54
"PWY-7385: 1,3-propanediol biosynthesis (engineered)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.828447407131978	-0.0597419706712674	0.559970646426501	0.182873481269438	0.527573794859747	0.332304252387272	0.56028042553668	NA	"abundance"	65	27
"THRESYN-PWY: superpathway of L-threonine biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	0.0376406660522416	-0.0597419706712674	0.0681486669686161	0.1840571455114	0.528480912854516	0.334237258208996	0.56136373482978	NA	"abundance"	65	58
"PWY-5030: L-histidine degradation III"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.75501419265185	-0.0597419706712674	0.519431515399726	0.187493476924202	0.535012137908191	0.339833149959278	0.566573419609016	NA	"abundance"	65	47
"PWY-6143: CMP-pseudaminate biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.702228354854232	-0.0597419706712674	0.473603392266778	0.187561726508044	0.535012137908191	0.33994405176541	0.566573419609016	NA	"abundance"	65	27
"PWY1G-0: mycothiol biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.68799655267724	-0.0597419706712674	0.469294893793147	0.189548291503831	0.537156396118348	0.34316802819564	0.568862695410309	NA	"abundance"	65	37
"URSIN-PWY: ureide biosynthesis"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.692791028459105	0	0.527448701911756	0.189022719561674	0.537156396118348	0.108156612334026	0.520349996941037	NA	"prevalence"	65	27
"NAD-BIOSYNTHESIS-II: NAD salvage pathway III (to nicotinamide riboside)"	"tbClass"	"Unlikely"	"tbClassUnlikely"	-0.704703979980354	-0.0597419706712674	0.486272251150848	0.190506598291812	0.537282951284256	0.344720432590907	0.568862695410309	NA	"abundance"	65	58
